date,appos,appversion,count
2021-02-28,android,233,7260
2021-02-28,android,246,4701
2021-02-28,android,248,35
2021-02-28,android,252,28
2021-02-28,ios,233,10244
2021-02-28,ios,246,8820
2021-02-28,ios,248,45
2021-02-28,ios,252,<20
2021-03-07,android,233,982
2021-03-07,android,246,13377
2021-03-07,android,247,100
2021-03-07,android,248,4507
2021-03-07,android,252,74
2021-03-07,android,267,<20
2021-03-07,ios,233,696
2021-03-07,ios,241,<20
2021-03-07,ios,246,21674
2021-03-07,ios,248,8521
2021-03-07,ios,252,<20
2021-03-14,android,233,459
2021-03-14,android,246,505
2021-03-14,android,248,11168
2021-03-14,android,252,5313
2021-03-14,ios,233,370
2021-03-14,ios,246,391
2021-03-14,ios,248,19662
2021-03-14,ios,252,8499
2021-03-21,android,233,353
2021-03-21,android,246,189
2021-03-21,android,248,478
2021-03-21,android,252,19107
2021-03-21,ios,233,243
2021-03-21,ios,246,185
2021-03-21,ios,248,424
2021-03-21,ios,252,28822
