date,appos,appversion,count
2021-02-28,android,233,4430
2021-02-28,android,246,4441
2021-02-28,android,248,<20
2021-02-28,android,252,<20
2021-02-28,ios,233,6710
2021-02-28,ios,246,6513
2021-02-28,ios,248,<20
2021-02-28,ios,252,<20
2021-03-07,android,233,498
2021-03-07,android,246,10563
2021-03-07,android,247,84
2021-03-07,android,248,3750
2021-03-07,android,252,55
2021-03-07,android,267,<20
2021-03-07,ios,233,446
2021-03-07,ios,241,<20
2021-03-07,ios,246,14329
2021-03-07,ios,248,6124
2021-03-14,android,233,188
2021-03-14,android,246,283
2021-03-14,android,248,8483
2021-03-14,android,252,4241
2021-03-14,ios,233,203
2021-03-14,ios,246,261
2021-03-14,ios,248,13107
2021-03-14,ios,252,5653
2021-03-21,android,233,119
2021-03-21,android,246,108
2021-03-21,android,248,291
2021-03-21,android,252,14652
2021-03-21,android,267,<20
2021-03-21,ios,233,148
2021-03-21,ios,246,124
2021-03-21,ios,248,345
2021-03-21,ios,252,19491
