date,os-se,count-nombre
2021-02-28,android,8927
2021-02-28,ios,13229
2021-03-07,android,15061
2021-03-07,ios,20910
2021-03-14,android,13322
2021-03-14,ios,19233
2021-03-21,android,15381
2021-03-21,ios,20117
2021-03-28,android,16500
2021-03-28,ios,18950
2021-04-04,android,15085
2021-04-04,ios,21268
2021-04-11,android,15321
2021-04-11,ios,23986
2021-04-18,android,12879
2021-04-18,ios,23256
2021-04-25,android,11902
2021-04-25,ios,21390
2021-05-02,android,11200
2021-05-02,ios,20033
2021-05-09,android,9815
2021-05-09,ios,16715
2021-05-16,android,8312
2021-05-16,ios,13828
2021-05-23,android,7268
2021-05-23,ios,12118
2021-05-30,android,7314
2021-05-30,ios,12744
2021-06-06,android,6290
2021-06-06,ios,9048
2021-06-13,android,5392
2021-06-13,ios,8351
2021-06-20,android,5311
2021-06-20,ios,8437
2021-06-27,android,5330
2021-06-27,ios,8826
2021-07-04,android,4967
2021-07-04,ios,7622
2021-07-11,android,5509
2021-07-11,ios,8816
2021-07-18,android,4823
2021-07-18,ios,8219
2021-07-25,android,4969
2021-07-25,ios,8436
2021-08-01,android,4923
2021-08-01,ios,8410
2021-08-08,android,5376
2021-08-08,ios,9510
2021-08-15,android,6256
2021-08-15,ios,11227
2021-08-22,android,6355
2021-08-22,ios,10959
2021-08-29,android,8459
2021-08-29,ios,13093
2021-09-05,android,10338
2021-09-05,ios,14190
2021-09-12,android,8855
2021-09-12,ios,14112
2021-09-19,android,8859
2021-09-19,ios,13793
2021-09-26,android,8863
2021-09-26,ios,16316
2021-10-03,android,7935
2021-10-03,ios,14322
2021-10-10,android,7109
2021-10-10,ios,12570
2021-10-17,android,8653
2021-10-17,ios,11291
2021-10-24,android,8297
2021-10-24,ios,11091
2021-10-31,android,6951
2021-10-31,ios,9879
2021-11-07,android,6099
2021-11-07,ios,9237
2021-11-14,android,5769
2021-11-14,ios,9457
2021-11-21,android,6143
2021-11-21,ios,9728
2021-11-28,android,6503
2021-11-28,ios,11208
2021-12-05,android,7494
2021-12-05,ios,13252
2021-12-12,android,7810
2021-12-12,ios,14464
2021-12-19,android,13323
2021-12-19,ios,28167
2021-12-26,android,17714
2021-12-26,ios,41232
2022-01-02,android,18767
2022-01-02,ios,41761
2022-01-09,android,12174
2022-01-09,ios,25818
2022-01-16,android,8393
2022-01-16,ios,16415
