date,region,exposure_status,count
2021-04-04,AB,exposed,<20
2021-04-04,AB,monitoring,<20
2021-04-04,BC,exposed,<20
2021-04-04,BC,monitoring,<20
2021-04-04,MB,exposed,<20
2021-04-04,MB,monitoring,<20
2021-04-04,NB,exposed,<20
2021-04-04,NB,monitoring,<20
2021-04-04,NL,exposed,<20
2021-04-04,NL,monitoring,<20
2021-04-04,NT,exposed,<20
2021-04-04,NT,monitoring,<20
2021-04-04,NS,exposed,<20
2021-04-04,NS,monitoring,<20
2021-04-04,NU,exposed,<20
2021-04-04,NU,monitoring,<20
2021-04-04,ON,exposed,<20
2021-04-04,ON,monitoring,<20
2021-04-04,PE,exposed,<20
2021-04-04,PE,monitoring,<20
2021-04-04,QC,exposed,<20
2021-04-04,QC,monitoring,<20
2021-04-04,SK,exposed,<20
2021-04-04,SK,monitoring,<20
2021-04-04,YT,exposed,<20
2021-04-04,YT,monitoring,<20
2021-04-04,NPTS,exposed,<20
2021-04-04,NPTS,monitoring,<20
2021-04-11,AB,exposed,<20
2021-04-11,AB,monitoring,<20
2021-04-11,BC,exposed,<20
2021-04-11,BC,monitoring,<20
2021-04-11,MB,exposed,<20
2021-04-11,MB,monitoring,20
2021-04-11,NB,exposed,<20
2021-04-11,NB,monitoring,<20
2021-04-11,NL,exposed,<20
2021-04-11,NL,monitoring,<20
2021-04-11,NT,exposed,<20
2021-04-11,NT,monitoring,<20
2021-04-11,NS,exposed,<20
2021-04-11,NS,monitoring,<20
2021-04-11,NU,exposed,<20
2021-04-11,NU,monitoring,<20
2021-04-11,ON,exposed,101
2021-04-11,ON,monitoring,880
2021-04-11,PE,exposed,<20
2021-04-11,PE,monitoring,<20
2021-04-11,QC,exposed,<20
2021-04-11,QC,monitoring,62
2021-04-11,SK,exposed,<20
2021-04-11,SK,monitoring,41
2021-04-11,YT,exposed,<20
2021-04-11,YT,monitoring,<20
2021-04-11,NPTS,exposed,<20
2021-04-11,NPTS,monitoring,41
