date,count-nombre
2020-10-04,84
2020-10-11,590
2020-10-18,572
2020-10-25,684
2020-11-01,591
2020-11-08,684
2020-11-15,990
2020-11-22,941
2020-11-29,978
2020-12-06,1033
2020-12-13,1007
2020-12-20,1206
2020-12-27,1331
2021-01-03,1789
2021-01-10,1687
2021-01-17,1318
2021-01-24,1047
2021-01-31,806
2021-02-07,646
2021-02-14,617
2021-02-21,562
2021-02-28,562
2021-03-07,554
2021-03-14,646
2021-03-21,745
2021-03-28,933
2021-04-04,1327
2021-04-11,1704
2021-04-18,1714
2021-04-25,1410
2021-05-02,1193
2021-05-09,968
2021-05-16,794
2021-05-23,634
2021-05-30,376
2021-06-06,221
2021-06-13,155
2021-06-20,88
2021-06-27,61
2021-07-04,45
2021-07-11,32
2021-07-18,26
2021-07-25,35
2021-08-01,32
2021-08-08,81
2021-08-15,108
2021-08-22,159
2021-08-29,174
2021-09-05,155
2021-09-12,204
2021-09-19,196
2021-09-26,178
2021-10-03,160
2021-10-10,217
2021-10-17,122
2021-10-24,149
2021-10-31,128
2021-11-07,137
2021-11-14,181
2021-11-21,209
2021-11-28,258
2021-12-05,380
2021-12-12,588
2021-12-19,2014
2021-12-26,4879
2022-01-02,5896
2022-01-09,3381
2022-01-16,1850
2022-01-23,986
