date,count-nombre
2020-10-04,100
2020-10-11,658
2020-10-18,678
2020-10-25,815
2020-11-01,726
2020-11-08,840
2020-11-15,1210
2020-11-22,1202
2020-11-29,1267
2020-12-06,1330
2020-12-13,1321
2020-12-20,1517
2020-12-27,1642
2021-01-03,2196
2021-01-10,2131
2021-01-17,1735
2021-01-24,1336
2021-01-31,1043
2021-02-07,831
2021-02-14,808
2021-02-21,790
2021-02-28,779
2021-03-07,776
2021-03-14,932
2021-03-21,1006
2021-03-28,1355
2021-04-04,1848
2021-04-11,2430
2021-04-18,2632
2021-04-25,2229
2021-05-02,1957
2021-05-09,1629
2021-05-16,1346
2021-05-23,1088
2021-05-30,634
2021-06-06,410
2021-06-13,266
2021-06-20,150
2021-06-27,132
2021-07-04,79
2021-07-11,54
2021-07-18,53
2021-07-25,62
2021-08-01,57
2021-08-08,121
2021-08-15,163
2021-08-22,226
2021-08-29,267
2021-09-05,240
2021-09-12,325
2021-09-19,314
2021-09-26,319
2021-10-03,281
2021-10-10,343
2021-10-17,223
2021-10-24,246
2021-10-31,203
2021-11-07,223
2021-11-14,268
2021-11-21,322
2021-11-28,387
2021-12-05,548
2021-12-12,792
2021-12-19,2545
2021-12-26,6247
2022-01-02,8407
2022-01-09,5467
2022-01-16,3589
2022-01-23,1929
2022-01-30,1237
2022-02-06,883
2022-02-13,684
2022-02-20,501
2022-02-27,512
2022-03-06,470
2022-03-13,536
2022-03-20,551
