date,region,count-nombre
2020-10-04,AB,<20
2020-10-04,BC,<20
2020-10-04,MB,<20
2020-10-04,NB,<20
2020-10-04,NL,<20
2020-10-04,NT,<20
2020-10-04,NS,<20
2020-10-04,NU,<20
2020-10-04,ON,100
2020-10-04,PE,<20
2020-10-04,QC,<20
2020-10-04,SK,<20
2020-10-04,YT,<20
2020-10-04,npts-ptso,<20
2020-10-11,AB,<20
2020-10-11,BC,<20
2020-10-11,MB,<20
2020-10-11,NB,<20
2020-10-11,NL,<20
2020-10-11,NT,<20
2020-10-11,NS,<20
2020-10-11,NU,<20
2020-10-11,ON,317
2020-10-11,PE,<20
2020-10-11,QC,323
2020-10-11,SK,<20
2020-10-11,YT,<20
2020-10-11,npts-ptso,<20
2020-10-18,AB,<20
2020-10-18,BC,<20
2020-10-18,MB,25
2020-10-18,NB,<20
2020-10-18,NL,<20
2020-10-18,NT,<20
2020-10-18,NS,<20
2020-10-18,NU,<20
2020-10-18,ON,371
2020-10-18,PE,<20
2020-10-18,QC,267
2020-10-18,SK,<20
2020-10-18,YT,<20
2020-10-18,npts-ptso,<20
2020-10-25,AB,<20
2020-10-25,BC,<20
2020-10-25,MB,48
2020-10-25,NB,<20
2020-10-25,NL,<20
2020-10-25,NT,<20
2020-10-25,NS,<20
2020-10-25,NU,<20
2020-10-25,ON,454
2020-10-25,PE,<20
2020-10-25,QC,280
2020-10-25,SK,30
2020-10-25,YT,<20
2020-10-25,npts-ptso,<20
2020-11-01,AB,<20
2020-11-01,BC,<20
2020-11-01,MB,90
2020-11-01,NB,<20
2020-11-01,NL,<20
2020-11-01,NT,<20
2020-11-01,NS,<20
2020-11-01,NU,<20
2020-11-01,ON,370
2020-11-01,PE,<20
2020-11-01,QC,212
2020-11-01,SK,49
2020-11-01,YT,<20
2020-11-01,npts-ptso,<20
2020-11-08,AB,<20
2020-11-08,BC,<20
2020-11-08,MB,108
2020-11-08,NB,<20
2020-11-08,NL,<20
2020-11-08,NT,<20
2020-11-08,NS,<20
2020-11-08,NU,<20
2020-11-08,ON,429
2020-11-08,PE,<20
2020-11-08,QC,248
2020-11-08,SK,48
2020-11-08,YT,<20
2020-11-08,npts-ptso,<20
2020-11-15,AB,<20
2020-11-15,BC,<20
2020-11-15,MB,139
2020-11-15,NB,<20
2020-11-15,NL,<20
2020-11-15,NT,<20
2020-11-15,NS,<20
2020-11-15,NU,<20
2020-11-15,ON,687
2020-11-15,PE,<20
2020-11-15,QC,284
2020-11-15,SK,94
2020-11-15,YT,<20
2020-11-15,npts-ptso,<20
2020-11-22,AB,<20
2020-11-22,BC,<20
2020-11-22,MB,139
2020-11-22,NB,<20
2020-11-22,NL,<20
2020-11-22,NT,<20
2020-11-22,NS,<20
2020-11-22,NU,<20
2020-11-22,ON,759
2020-11-22,PE,<20
2020-11-22,QC,184
2020-11-22,SK,99
2020-11-22,YT,<20
2020-11-22,npts-ptso,<20
2020-11-29,AB,<20
2020-11-29,BC,<20
2020-11-29,MB,139
2020-11-29,NB,<20
2020-11-29,NL,<20
2020-11-29,NT,<20
2020-11-29,NS,<20
2020-11-29,NU,<20
2020-11-29,ON,765
2020-11-29,PE,<20
2020-11-29,QC,201
2020-11-29,SK,136
2020-11-29,YT,<20
2020-11-29,npts-ptso,<20
2020-12-06,AB,<20
2020-12-06,BC,<20
2020-12-06,MB,117
2020-12-06,NB,<20
2020-12-06,NL,<20
2020-12-06,NT,<20
2020-12-06,NS,<20
2020-12-06,NU,<20
2020-12-06,ON,835
2020-12-06,PE,<20
2020-12-06,QC,226
2020-12-06,SK,133
2020-12-06,YT,<20
2020-12-06,npts-ptso,<20
2020-12-13,AB,<20
2020-12-13,BC,<20
2020-12-13,MB,92
2020-12-13,NB,<20
2020-12-13,NL,<20
2020-12-13,NT,<20
2020-12-13,NS,<20
2020-12-13,NU,<20
2020-12-13,ON,873
2020-12-13,PE,<20
2020-12-13,QC,235
2020-12-13,SK,114
2020-12-13,YT,<20
2020-12-13,npts-ptso,<20
2020-12-20,AB,<20
2020-12-20,BC,<20
2020-12-20,MB,64
2020-12-20,NB,<20
2020-12-20,NL,<20
2020-12-20,NT,<20
2020-12-20,NS,<20
2020-12-20,NU,<20
2020-12-20,ON,1068
2020-12-20,PE,<20
2020-12-20,QC,278
2020-12-20,SK,101
2020-12-20,YT,<20
2020-12-20,npts-ptso,<20
2020-12-27,AB,<20
2020-12-27,BC,<20
2020-12-27,MB,47
2020-12-27,NB,<20
2020-12-27,NL,<20
2020-12-27,NT,<20
2020-12-27,NS,<20
2020-12-27,NU,<20
2020-12-27,ON,1173
2020-12-27,PE,<20
2020-12-27,QC,347
2020-12-27,SK,69
2020-12-27,YT,<20
2020-12-27,npts-ptso,<20
2021-01-03,AB,<20
2021-01-03,BC,<20
2021-01-03,MB,56
2021-01-03,NB,<20
2021-01-03,NL,<20
2021-01-03,NT,<20
2021-01-03,NS,<20
2021-01-03,NU,<20
2021-01-03,ON,1690
2021-01-03,PE,<20
2021-01-03,QC,379
2021-01-03,SK,64
2021-01-03,YT,<20
2021-01-03,npts-ptso,<20
2021-01-10,AB,<20
2021-01-10,BC,<20
2021-01-10,MB,51
2021-01-10,NB,<20
2021-01-10,NL,<20
2021-01-10,NT,<20
2021-01-10,NS,<20
2021-01-10,NU,<20
2021-01-10,ON,1572
2021-01-10,PE,<20
2021-01-10,QC,325
2021-01-10,SK,164
2021-01-10,YT,<20
2021-01-10,npts-ptso,<20
2021-01-17,AB,<20
2021-01-17,BC,<20
2021-01-17,MB,30
2021-01-17,NB,27
2021-01-17,NL,<20
2021-01-17,NT,<20
2021-01-17,NS,<20
2021-01-17,NU,<20
2021-01-17,ON,1352
2021-01-17,PE,<20
2021-01-17,QC,196
2021-01-17,SK,122
2021-01-17,YT,<20
2021-01-17,npts-ptso,<20
2021-01-24,AB,<20
2021-01-24,BC,<20
2021-01-24,MB,38
2021-01-24,NB,23
2021-01-24,NL,<20
2021-01-24,NT,<20
2021-01-24,NS,<20
2021-01-24,NU,<20
2021-01-24,ON,965
2021-01-24,PE,<20
2021-01-24,QC,181
2021-01-24,SK,127
2021-01-24,YT,<20
2021-01-24,npts-ptso,<20
2021-01-31,AB,<20
2021-01-31,BC,<20
2021-01-31,MB,21
2021-01-31,NB,<20
2021-01-31,NL,<20
2021-01-31,NT,<20
2021-01-31,NS,<20
2021-01-31,NU,<20
2021-01-31,ON,724
2021-01-31,PE,<20
2021-01-31,QC,119
2021-01-31,SK,160
2021-01-31,YT,<20
2021-01-31,npts-ptso,<20
2021-02-07,AB,<20
2021-02-07,BC,<20
2021-02-07,MB,20
2021-02-07,NB,<20
2021-02-07,NL,<20
2021-02-07,NT,<20
2021-02-07,NS,<20
2021-02-07,NU,<20
2021-02-07,ON,514
2021-02-07,PE,<20
2021-02-07,QC,87
2021-02-07,SK,201
2021-02-07,YT,<20
2021-02-07,npts-ptso,<20
2021-02-14,AB,<20
2021-02-14,BC,<20
2021-02-14,MB,<20
2021-02-14,NB,<20
