date,region,appos,count
2021-01-03,AB,android,<20
2021-01-03,AB,ios,<20
2021-01-03,BC,android,<20
2021-01-03,BC,ios,<20
2021-01-03,MB,android,<20
2021-01-03,MB,ios,<20
2021-01-03,NB,android,<20
2021-01-03,NB,ios,<20
2021-01-03,NL,android,<20
2021-01-03,NL,ios,<20
2021-01-03,NT,android,<20
2021-01-03,NT,ios,<20
2021-01-03,NS,android,<20
2021-01-03,NS,ios,<20
2021-01-03,NU,android,<20
2021-01-03,NU,ios,<20
2021-01-03,ON,android,<20
2021-01-03,ON,ios,<20
2021-01-03,PE,android,<20
2021-01-03,PE,ios,<20
2021-01-03,QC,android,<20
2021-01-03,QC,ios,<20
2021-01-03,SK,android,<20
2021-01-03,SK,ios,<20
2021-01-03,YT,android,<20
2021-01-03,YT,ios,<20
2021-01-03,NPTS,android,<20
2021-01-03,NPTS,ios,<20
2021-01-10,AB,android,<20
2021-01-10,AB,ios,<20
2021-01-10,BC,android,<20
2021-01-10,BC,ios,<20
2021-01-10,MB,android,<20
2021-01-10,MB,ios,<20
2021-01-10,NB,android,<20
2021-01-10,NB,ios,<20
2021-01-10,NL,android,<20
2021-01-10,NL,ios,<20
2021-01-10,NT,android,<20
2021-01-10,NT,ios,<20
2021-01-10,NS,android,<20
2021-01-10,NS,ios,<20
2021-01-10,NU,android,<20
2021-01-10,NU,ios,<20
2021-01-10,ON,android,<20
2021-01-10,ON,ios,<20
2021-01-10,PE,android,<20
2021-01-10,PE,ios,<20
2021-01-10,QC,android,<20
2021-01-10,QC,ios,<20
2021-01-10,SK,android,<20
2021-01-10,SK,ios,<20
2021-01-10,YT,android,<20
2021-01-10,YT,ios,<20
2021-01-10,NPTS,android,<20
2021-01-10,NPTS,ios,<20
2021-01-17,AB,android,<20
2021-01-17,AB,ios,<20
2021-01-17,BC,android,<20
2021-01-17,BC,ios,<20
2021-01-17,MB,android,<20
2021-01-17,MB,ios,<20
2021-01-17,NB,android,<20
2021-01-17,NB,ios,<20
2021-01-17,NL,android,<20
2021-01-17,NL,ios,<20
2021-01-17,NT,android,<20
2021-01-17,NT,ios,<20
2021-01-17,NS,android,<20
2021-01-17,NS,ios,<20
