date,action,count
2021-01-03,turn_on,<20
2021-01-03,turn_off,<20
2021-01-10,turn_on,<20
2021-01-10,turn_off,<20
2021-01-17,turn_on,<20
2021-01-17,turn_off,<20
2021-01-24,turn_on,<20
2021-01-24,turn_off,<20
2021-01-31,turn_on,<20
2021-01-31,turn_off,<20
2021-02-07,turn_on,<20
2021-02-07,turn_off,<20
2021-02-14,turn_on,<20
2021-02-14,turn_off,<20
2021-02-21,turn_on,26979.0
2021-02-21,turn_off,26979.0
2021-02-28,turn_on,26989.0
2021-02-28,turn_off,26977.0
2021-03-07,turn_on,20.0
2021-03-07,turn_off,<20
2021-03-14,turn_on,<20
2021-03-14,turn_off,<20
