date,appos,appversion,count
2021-02-28,android,233,4429.0
2021-02-28,android,246,4441.0
2021-02-28,android,248,<20
2021-02-28,android,252,<20
2021-02-28,ios,233,6710.0
2021-02-28,ios,246,6513.0
2021-02-28,ios,248,<20
2021-02-28,ios,252,<20
2021-03-07,android,233,498.0
2021-03-07,android,246,10563.0
2021-03-07,android,247,84.0
2021-03-07,android,248,3750.0
2021-03-07,android,252,50.0
2021-03-07,ios,233,446.0
2021-03-07,ios,241,<20
2021-03-07,ios,246,14329.0
2021-03-07,ios,248,6124.0
2021-03-14,android,233,188.0
2021-03-14,android,246,283.0
2021-03-14,android,248,8483.0
2021-03-14,android,252,4239.0
2021-03-14,ios,233,203.0
2021-03-14,ios,246,261.0
2021-03-14,ios,248,13107.0
2021-03-14,ios,252,5653.0
2021-03-21,android,233,119.0
2021-03-21,android,246,107.0
2021-03-21,android,248,291.0
2021-03-21,android,252,14644.0
2021-03-21,ios,233,148.0
2021-03-21,ios,246,124.0
2021-03-21,ios,248,345.0
2021-03-21,ios,252,19491.0
